序号,subskill,分类,标题,请求方式,域名,外部接口,必填参数,全部参数,支持全量,适用场景,示例命令,文档路径
82,stock-balance-single-stock-all-periods,A 股财报 / 业绩,查询单票所有报告期资产负债表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/finance/balance,stock_code,stock_code,否,获取 A 股上市公司单只股票所有报告期的资产负债表，支持沪深京股票,python <RUN_PY> stock-balance-single-stock-all-periods,
83,stock-capital-flows,A 股资金 / 估值 / 热度 / 短线,对外接口-查询股票资金流向,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/stock-capital-flows,无,"date, time, symbol, page, page_size, all",是,分页查询 A 股股票资金流向；不传 date 返回当前实时快照，传入 date 可指定 15 分钟切片（默认 time=1530 日终）。仅返回 A 股（不含 ETF/指数），按主力净流入降序排列。,python <RUN_PY> stock-capital-flows,
84,stock-cashflow-all-stocks-specific-period,A 股财报 / 业绩,查询单报告期所有票现金流量表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/finance/cashflow,"year, report_type, page, page_size","year, report_type, page, page_size",否,获取 A 股指定报告期所有股票的现金流量表，支持沪深京股票，支持分页,python <RUN_PY> stock-cashflow-all-stocks-specific-period,
85,stock-cashflow-single-stock-all-periods,A 股财报 / 业绩,查询单票所有报告期现金流量表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/finance/cashflow,stock_code,stock_code,否,获取 A 股上市公司单只股票所有报告期的现金流量表，支持沪深京股票,python <RUN_PY> stock-cashflow-single-stock-all-periods,
86,stock-comment-desire,A 股资金 / 估值 / 热度 / 短线,市场参与意愿,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/stock-comment/desire,symbol,symbol,否,查询指定股票的市场参与意愿及 5 日均值变化,python <RUN_PY> stock-comment-desire --symbol 000001,
87,stock-comment-focus,A 股资金 / 估值 / 热度 / 短线,市场热度用户关注指数,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/stock-comment/focus,symbol,symbol,否,查询指定股票的用户关注指数、排名及变动情况,python <RUN_PY> stock-comment-focus --symbol 000001,
88,stock-comment-index,A 股资金 / 估值 / 热度 / 短线,千股千评综合诊断主表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/stock-comment/index,无,无,否,查询东方财富千股千评综合诊断主表，获取全市场股票的综合评分与排名,python <RUN_PY> stock-comment-index,
89,stock-comment-org-participate,A 股资金 / 估值 / 热度 / 短线,机构参与度,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/stock-comment/org-participate,symbol,symbol,否,查询指定股票的历史机构参与度走势,python <RUN_PY> stock-comment-org-participate --symbol 000001,
90,stock-comment-score,A 股资金 / 估值 / 热度 / 短线,综合评价历史评分,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/stock-comment/score,symbol,symbol,否,查询指定股票的历史综合评分走势,python <RUN_PY> stock-comment-score --symbol 000001,
91,stock-goodwill-detail,其他,查询个股商誉明细,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/goodwill/stock-detail,date,date,否,查询个股的商誉规模、商誉占净资产比例、净利润同比变化等明细数据,python <RUN_PY> stock-goodwill-detail,
92,stock-goodwill-impairment,其他,查询个股商誉减值明细,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/goodwill/stock-impairment,date,date,否,查询存在商誉减值的个股数据，包含减值金额、减值占净利润比例等字段,python <RUN_PY> stock-goodwill-impairment,
93,stock-goodwill-industry,其他,查询行业商誉,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/goodwill/industry,date,date,否,查询各行业的商誉规模、商誉占净资产比例、净利润规模等汇总数据,python <RUN_PY> stock-goodwill-industry,
94,stock-goodwill-market-overview,其他,查询A股商誉市场概况,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/goodwill/market-overview,无,无,否,查询 A 股全市场商誉历史概况，包含商誉规模、减值金额、占净资产/净利润比例等汇总指标,python <RUN_PY> stock-goodwill-market-overview,
95,stock-goodwill-predict,其他,查询商誉减值预期明细,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/goodwill/predict,date,date,否,查询商誉减值业绩预告数据，包含预测净利润上下限、业绩变动幅度、上年同期净利润等字段,python <RUN_PY> stock-goodwill-predict,
96,stock-holder-ften,A 股股东 / 股权 / 公司事件,查询单票所有公告期 10 大流通股东,GET,https://market.ft.tech,/gateway/api/v1/market/data/holder/stock-holder-ften,stock_code,stock_code,否,获取 A 股上市公司单只股票所有公告期的十大流通股东信息，支持沪深京股票,python <RUN_PY> stock-holder-ften --stock_code 603323.SH,
97,stock-holder-nums,A 股股东 / 股权 / 公司事件,查询单票所有公告期股东人数信息,GET,https://market.ft.tech,/gateway/api/v1/market/data/holder/stock-holder-nums,stock_code,stock_code,否,获取 A 股上市公司单只股票所有公告期的股东人数信息，支持沪深京股票,python <RUN_PY> stock-holder-nums --stock_code 603323.SH,
98,stock-holder-ten,A 股股东 / 股权 / 公司事件,查询单票所有公告期 10 大股东,GET,https://market.ft.tech,/gateway/api/v1/market/data/holder/stock-holder-ten,stock_code,stock_code,否,获取 A 股上市公司单只股票所有公告期的十大股东信息，支持沪深京股票,python <RUN_PY> stock-holder-ten --stock_code 603323.SH,
99,stock-income-all-stocks-specific-period,A 股财报 / 业绩,查询单报告期所有票利润表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/finance/income,"year, report_type, page, page_size","year, report_type, page, page_size",否,获取 A 股指定报告期所有股票的利润表，支持沪深京股票，支持分页,python <RUN_PY> stock-income-all-stocks-specific-period,
100,stock-income-single-stock-all-periods,A 股财报 / 业绩,查询单票所有报告期利润表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/finance/income,stock_code,stock_code,否,获取 A 股上市公司单只股票所有报告期的利润表，支持沪深京股票,python <RUN_PY> stock-income-single-stock-all-periods,
101,stock-ipos,A 股基础 / 行情,获取股票 IPO 列表,GET / POST,https://market.ft.tech,/gateway/api/v1/market/data/stock-ipos,"page, page_size","page, page_size, all",是,获取 A 股 IPO 列表，含发行价格、发行数量、申购日期、上市日期等，支持分页查询,python <RUN_PY> stock-ipos --page 1 --page_size 20,
102,stock-list-all-stocks,A 股基础 / 行情,获取所有股票代码列表,GET,https://market.ft.tech,/gateway/api/v1/market/data/stock-list,无,无,否,获取所有 A 股股票的代码和名称列表，支持沪深京股票，自动返回最新交易日的数据,python <RUN_PY> stock-list-all-stocks,
103,stock-ohlcs,A 股基础 / 行情,查询单只股票 OHLC K 线,GET,https://market.ft.tech,/gateway/api/v1/market/data/daec/history/ohlcs,"stock, since","stock, since, until, interval, adjust",否,获取 A 股指定股票在指定日期区间、周期的 K 线（开高低收、成交量、成交额），支持日/周/月线与前/后复权,python <RUN_PY> stock-ohlcs --stock 600000.XSHG --since 20240101 --until 20240131,
104,stock-performance-express-all-stocks-specific-period,A 股财报 / 业绩,查询指定报告期全市场业绩快报（分页）,,https://market.ft.tech,,"year, report_type","year, report_type, page, page_size",否,"Get performance express (业绩快报) for all stocks in a specific reporting period. Use when user asks about 指定报告期业绩快报, 全市场业绩快报, all stocks performance express for a specific year and period.",python <RUN_PY> stock-performance-express-all-stocks-specific-period,
105,stock-performance-express-single-stock-all-periods,A 股财报 / 业绩,查询单只股票所有报告期业绩快报（分页）,,https://market.ft.tech,,stock_code,"stock_code, page, page_size",否,"Get all periods' performance express (业绩快报) for a single stock. Use when user asks about 业绩快报, 单只股票业绩快报, stock performance express, earnings express.",python <RUN_PY> stock-performance-express-single-stock-all-periods,
106,stock-performance-forecast-all-stocks-specific-period,A 股财报 / 业绩,查询指定报告期全市场业绩预告（分页）,,https://market.ft.tech,,"year, report_type","year, report_type, page, page_size",否,"Get performance forecast (业绩预告) for all stocks in a specific reporting period. Use when user asks about 指定报告期业绩预告, 全市场业绩预告, all stocks performance forecast for a specific year and period.",python <RUN_PY> stock-performance-forecast-all-stocks-specific-period,
107,stock-performance-forecast-single-stock-all-periods,A 股财报 / 业绩,查询单只股票所有报告期业绩预告（分页）,,https://market.ft.tech,,stock_code,"stock_code, page, page_size",否,"Get all periods' performance forecast (业绩预告) for a single stock. Use when user asks about 业绩预告, 单只股票业绩预告, stock performance forecast, earnings forecast.",python <RUN_PY> stock-performance-forecast-single-stock-all-periods,
108,stock-prices,A 股基础 / 行情,查询单只股票分时价格（一分钟级别）,GET,https://market.ft.tech,/gateway/api/v1/market/data/daec/history/prices,"stock, since, since_ts_ms","stock, since, since_ts_ms",否,获取 A 股指定股票在指定时间范围内的分时数据（一分钟一根），用于分时图、当日/多日走势；每条含该分钟的价格、成交量、成交额、均价、时间戳；支持从今天起、从五日前起、从 N 个交易日前起或从指定毫秒时间戳起,python <RUN_PY> stock-prices --stock 000001.XSHG --since TODAY,
109,stock-quotes-list,A 股基础 / 行情,查询 A 股行情列表（分页）,GET,https://market.ft.tech,https://market.ft.tech/gateway/api/v1/market/data/daec/stocks,"order_by, page_no, page_size","order_by, page_no, page_size, filter, masks",否,获取 A 股（沪深京）股票行情列表，支持按板块筛选、多字段排序与分页，用于行情中心「个股行情」等列表展示,"python <RUN_PY> stock-quotes-list --order_by ""change_rate desc"" --page_no 1 --page_size 30",
110,stock-rank-eastmoney,A 股资金 / 估值 / 热度 / 短线,东方财富排行榜,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/eastmoney-rank,无,"rank_group, market, trade_date",否,查询东方财富的股票人气榜、飙升榜，支持 A 股/港股/美股,python <RUN_PY> stock-rank-eastmoney --rank-group hot --market A,
111,stock-rank-xueqiu,A 股资金 / 估值 / 热度 / 短线,雪球排行榜,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/xueqiu-rank,无,"rank_group, period, trade_date, page, page_size",否,查询雪球平台的股票关注度、讨论热度、交易热度排行榜,python <RUN_PY> stock-rank-xueqiu --rank-group follow --period 7d --page 1 --page-size 20,
112,stock-security-info,A 股基础 / 行情,查询单只股票/基金/指数信息,GET,https://ftai.chat,https://ftai.chat/api/v1/market/security/{symbol}/info,symbol,symbol,否,按标的代码查询单只股票、基金或指数的实时行情、多周期涨跌幅及估值指标（市盈率、市净率、每股净资产等）,python <RUN_PY> stock-security-info --symbol 600519.SH,
113,stock-share-chg,A 股股东 / 股权 / 公司事件,查询单票股东增减持,GET,https://market.ft.tech,/gateway/api/v1/market/data/holder/stock-share-chg,stock_code,"stock_code, page, page_size",否,获取 A 股上市公司单只股票所有报告期的股东增减持信息，支持沪深京股票，支持分页查询,python <RUN_PY> stock-share-chg --stock_code 603323.SH,
114,stock-unlock-by-date,A 股股东 / 股权 / 公司事件,按解禁日期范围查询限售解禁,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/unlock/stock-unlock-by-date,"start_date, end_date","start_date, end_date, page, page_size",否,按解禁日期范围分页查询限售解禁批次及股东明细,python <RUN_PY> stock-unlock-by-date --start_date 2025-06-01 --end_date 2025-06-30,
115,stock-unlock-by-stock,A 股股东 / 股权 / 公司事件,按证券代码查询限售解禁,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/unlock/stock-unlock,stock_code,"stock_code, page, page_size",否,按证券代码分页查询限售解禁批次及股东明细,python <RUN_PY> stock-unlock-by-stock --stock_code 000001,
116,us-balance,美股,对外接口-查询美股资产负债表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/us/us-balance,stock_code,"stock_code, period, report_type, start_date, end_date, page, page_size, all",是,查询美股上市公司资产负债表（资产、负债、所有者权益各科目），按**财年 + 报告期**组合查询。数据来源 ClickHouse basedata.usstk_balance。,python <RUN_PY> us-balance,
117,us-basic,美股,对外接口-查询美股列表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/us/us-basic,无,"stock_code, page, page_size, all",是,查询美股基础信息（代码、中英文名称、上市/退市日期），支持全量分页或精确查单只。数据来源 ClickHouse basedata.usstk_securityinfo，约 5315 只。,python <RUN_PY> us-basic,
118,us-cashflow,美股,对外接口-查询美股现金流量表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/us/us-cashflow,stock_code,"stock_code, period, report_type, start_date, end_date, page, page_size, all",是,查询美股上市公司现金流量表（经营/投资/筹资活动现金流净额、折旧摊销、资本支出等），按**财年 + 报告期**组合查询。数据来源 ClickHouse basedata.usstk_cashflow。,python <RUN_PY> us-cashflow,
119,us-income,美股,对外接口-查询美股利润表,GET,https://market.ft.tech,GET /gateway/api/v1/market/data/us/us-income,stock_code,"stock_code, period, report_type, start_date, end_date, page, page_size, all",是,查询美股上市公司利润表（营收、成本、毛利、研发费用、净利润、EPS 等），按**财年 + 报告期**组合查询。数据来源 ClickHouse basedata.usstk_income。,python <RUN_PY> us-income,
