官网顺序,目录路径,一级目录,二级目录,三级目录,页面标题,文档标题,doc_id,官方链接,接口名,接口类型,描述,更新时间,权限类型,权限原文,限量/频次原文,输入参数数量,输入参数结构,输出字段数量,输出字段摘要,证据状态
66,股票数据 / 特色数据 / 股票技术面因子,股票数据,特色数据,,股票技术面因子,股票技术因子（量化因子）,296,https://tushare.pro/document/2?doc_id=296,stk_factor,股票数据 / 特色数据,描述：获取股票每日技术面因子数据，用于跟踪股票当前走势情况，数据由Tushare社区自产，覆盖全历史,,积分可访问,积分：5000积分每分钟可以请求100次，8000积分以上每分钟500次，具体请参阅积分获取办法,限量：单次最大10000条，可以循环或者分页提取,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",35,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), change:float(Y), pct_change:float(Y), vol:float(Y), amount:float(Y), adj_factor:float(Y), open_hfq:float(Y), open_qfq:float(Y), close_hfq:float(Y), close_qfq:float(Y), high_hfq:float(Y), high_qfq:float(Y), low_hfq:float(Y), low_qfq:float(Y), pre_close_hfq:float(Y), pre_close_qfq:float(Y), macd_dif:float(Y), macd_dea:float(Y), macd:float(Y), kdj_k:float(Y), kdj_d:float(Y), kdj_j:float(Y), rsi_6:float(Y), rsi_12:float(Y), rsi_24:float(Y), boll_upper:float(Y), boll_mid:float(Y), boll_lower:float(Y), cci:float(Y)",官网右侧文档直接提取
67,股票数据 / 特色数据 / 股票技术面因子(专业版）,股票数据,特色数据,,股票技术面因子(专业版）,股票技术面因子(专业版),328,https://tushare.pro/document/2?doc_id=328,stk_factor_pro,股票数据 / 特色数据,描述：获取股票每日技术面因子数据，用于跟踪股票当前走势情况，数据由Tushare社区自产，覆盖全历史；输出参数_bfq表示不复权，_qfq表示前复权 _hfq表示后复权，描述中说明了因子的默认传参，如需要特殊参数或者更多因子可以联系管理员评估,,积分可访问,积分：5000积分每分钟可以请求30次，8000积分以上每分钟500次，具体请参阅积分获取办法,限量：单次调取最多返回10000条数据，可以通过日期参数循环,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",266,"ts_code:str, trade_date:str, start_date:str, end_date:str, 名称:类型, ts_code:str, trade_date:str, open:float, open_hfq:float, open_qfq:float, high:float, high_hfq:float, high_qfq:float, low:float, low_hfq:float, low_qfq:float, close:float, close_hfq:float, close_qfq:float, pre_close:float, change:float, pct_chg:float, vol:float, amount:float, turnover_rate:float, turnover_rate_f:float, volume_ratio:float, pe:float, pe_ttm:float, pb:float, ps:float, ps_ttm:float, dv_ratio:float, dv_ttm:float, total_share:float, float_share:float, free_share:float, total_mv:float, circ_mv:float, adj_factor:float, asi_bfq:float, asi_hfq:float, asi_qfq:float, asit_bfq:float, asit_hfq:float, asit_qfq:float, atr_bfq:float, atr_hfq:float, atr_qfq:float, bbi_bfq:float, bbi_hfq:float, bbi_qfq:float, bias1_bfq:float, bias1_hfq:float, bias1_qfq:float, bias2_bfq:float, bias2_hfq:float, bias2_qfq:float, bias3_bfq:float, bias3_hfq:float ... +206",官网右侧文档直接提取
68,股票数据 / 特色数据 / 中央结算系统持股统计,股票数据,特色数据,,中央结算系统持股统计,中央结算系统持股汇总,295,https://tushare.pro/document/2?doc_id=295,ccass_hold,股票数据 / 特色数据,描述：获取中央结算系统持股汇总数据，覆盖全部历史数据，根据交易所披露时间，当日数据在下一交易日早上9点前完成入库,,积分可访问,积分：用户120积分可以试用看数据，5000积分每分钟可以请求300次，8000积分以上可以请求500次每分钟，具体请参阅积分获取办法,限量：单次最大5000条数据，可循环或分页提供全部,5,"ts_code:str, hk_code:str, trade_date:str, start_date:str, end_date:str",6,"trade_date:str(Y), ts_code:str(Y), name:str(Y), shareholding:str(Y), hold_nums:str(Y), hold_ratio:str(Y)",官网右侧文档直接提取
69,股票数据 / 特色数据 / 中央结算系统持股明细,股票数据,特色数据,,中央结算系统持股明细,中央结算系统持股明细,274,https://tushare.pro/document/2?doc_id=274,ccass_hold_detail,股票数据 / 特色数据,描述：获取中央结算系统机构席位持股明细，数据覆盖全历史，根据交易所披露时间，当日数据在下一交易日早上9点前完成,,积分可访问,积分：用户积8000积分可调取，每分钟可以请求300次,限量：单次最大返回6000条数据，可以循环或分页提取,5,"ts_code:str, hk_code:str, trade_date:str, start_date:str, end_date:str",7,"trade_date:str(Y), ts_code:str(Y), name:str(Y), col_participant_id:str(Y), col_participant_name:str(Y), col_shareholding:str(Y), col_shareholding_percent:str(Y)",官网右侧文档直接提取
70,股票数据 / 特色数据 / 沪深股通持股明细,股票数据,特色数据,,沪深股通持股明细,获取单日全部持股,188,https://tushare.pro/document/2?doc_id=188,hk_hold,股票数据 / 特色数据,描述：获取沪深港股通持股明细，数据来源港交所。,,积分可访问,积分：用户积120积分可调取试用，2000积分可正常使用，单位分钟有流控，积分越高流量越大，请自行提高积分，具体请参阅积分获取办法,限量：单次最多提取3800条记录，可循环调取，总量不限制,6,"code:str, ts_code:str, trade_date:str, start_date:str, end_date:str, exchange:str",7,"code:str(Y), trade_date:str(Y), ts_code:str(Y), name:str(Y), vol:int(Y), ratio:float(Y), exchange:str(Y)",官网右侧文档直接提取
71,股票数据 / 特色数据 / 股票开盘集合竞价数据,股票数据,特色数据,,股票开盘集合竞价数据,股票开盘集合竞价数据,353,https://tushare.pro/document/2?doc_id=353,stk_auction_o,股票数据 / 特色数据,描述：股票开盘9:30集合竞价数据，每天盘后更新,,单独开权限,权限：本接口是单独开权限的数据，具体参考权限说明,限量：单次请求最大返回10000行数据，可根据日期循环,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",9,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), vol:float(Y), amount:float(Y), vwap:float(Y)",官网右侧文档直接提取
72,股票数据 / 特色数据 / 股票收盘集合竞价数据,股票数据,特色数据,,股票收盘集合竞价数据,股票收盘集合竞价数据,354,https://tushare.pro/document/2?doc_id=354,stk_auction_c,股票数据 / 特色数据,描述：股票收盘15:00集合竞价数据，每天盘后更新,,单独开权限,权限：本接口是单独开权限的数据，具体参考权限说明,限量：单次请求最大返回10000行数据，可根据日期循环,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",9,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), vol:float(Y), amount:float(Y), vwap:float(Y)",官网右侧文档直接提取
73,股票数据 / 特色数据 / 神奇九转指标,股票数据,特色数据,,神奇九转指标,神奇九转指标,364,https://tushare.pro/document/2?doc_id=364,stk_nineturn,股票数据 / 特色数据,描述：神奇九转（又称“九转序列”）是一种基于技术分析的股票趋势反转指标，其思想来源于技术分析大师汤姆·迪马克（Tom DeMark）的TD序列。该指标的核心功能是通过识别股价在上涨或下跌过程中连续9天的特定走势，来判断股价的潜在反转点，从而帮助投资者提高抄底和逃顶的成功率，日线级别配合60min的九转效果更好，数据从20230101开始。,,积分可访问,权限：达到6000积分可以调用,限量：单次提取最大返回10000行数据，可通过股票代码和日期循环获取全部数据,5,"ts_code:str, trade_date:str, freq:str, start_date:str, end_date:str",13,"ts_code:str(Y), trade_date:datetime(Y), freq:str(Y), open:float(Y), high:float(Y), low:float(Y), close:float(Y), vol:float(Y), amount:float(Y), up_count:float(Y), down_count:float(Y), nine_up_turn:str(Y), nine_down_turn:str(Y)",官网右侧文档直接提取
74,股票数据 / 特色数据 / AH股比价,股票数据,特色数据,,AH股比价,AH股比价,399,https://tushare.pro/document/2?doc_id=399,stk_ah_comparison,股票数据 / 特色数据,描述：AH股比价数据，可根据交易日期获取历史,,积分可访问,权限：5000积分起,"提示：每天盘后17:00更新，单次请求最大返回1000行数据，可循环提取,本接口数据从20250812开始，由于历史不好补充，只能累积",5,"hk_code:str, ts_code:str, trade_date:str, start_date:str, end_date:str",11,"hk_code:str(Y), ts_code:str(Y), trade_date:str(Y), hk_name:str(Y), hk_pct_chg:float(Y), hk_close:float(Y), name:str(Y), close:float(Y), pct_chg:float(Y), ah_comparison:float(Y), ah_premium:float(Y)",官网右侧文档直接提取
75,股票数据 / 特色数据 / 机构调研数据,股票数据,特色数据,,机构调研数据,机构调研表,275,https://tushare.pro/document/2?doc_id=275,stk_surv,股票数据 / 特色数据,描述：获取上市公司机构调研记录数据,,积分可访问,积分：用户积5000积分可使用,限量：单次最大获取100条数据，可循环或分页提取,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",10,"ts_code:str(Y), name:str(Y), surv_date:str(Y), fund_visitors:str(Y), rece_place:str(Y), rece_mode:str(Y), rece_org:str(Y), org_type:str(Y), comp_rece:str(Y), content:None(N)",官网右侧文档直接提取
76,股票数据 / 特色数据 / 券商月度金股,股票数据,特色数据,,券商月度金股,券商每月荐股,267,https://tushare.pro/document/2?doc_id=267,broker_recommend,股票数据 / 特色数据,描述：获取券商月度金股，一般1日~3日内更新当月数据,,积分可访问,积分：积分达到6000即可调用，具体请参阅积分获取办法,限量：单次最大1000行数据，可循环提取,1,month*:str,4,"month:str(Y), broker:str(Y), ts_code:str(Y), name:str(Y)",官网右侧文档直接提取
78,股票数据 / 两融及转融通 / 融资融券交易汇总,股票数据,两融及转融通,,融资融券交易汇总,融资融券交易汇总,58,https://tushare.pro/document/2?doc_id=58,margin,股票数据 / 两融及转融通,描述：获取融资融券每日交易汇总数据，交易所于每天8点30左右更新上一日数据,,单独开权限,权限：2000积分可获得本接口权限，积分越高权限越大，具体参考权限说明,限量：单次请求最大返回4000行数据，可根据日期循环,4,"trade_date:str, start_date:str, end_date:str, exchange_id:str",9,"trade_date:str, exchange_id:str, rzye:float, rzmre:float, rzche:float, rqye:float, rqmcl:float, rzrqye:float, rqyl:float",官网右侧文档直接提取
79,股票数据 / 两融及转融通 / 融资融券交易明细,股票数据,两融及转融通,,融资融券交易明细,融资融券交易明细,59,https://tushare.pro/document/2?doc_id=59,margin_detail,股票数据 / 两融及转融通,描述：获取沪深两市每日融资融券明细，，交易所于每天8点30左右更新上一日数据,,单独开权限,权限：2000积分可获得本接口权限，积分越高权限越大，具体参考权限说明,限量：单次请求最大返回6000行数据，可根据日期循环,4,"trade_date:str, ts_code:str, start_date:str, end_date:str",11,"trade_date:str, ts_code:str, name:str, rzye:float, rqye:float, rzmre:float, rqyl:float, rzche:float, rqchl:float, rqmcl:float, rzrqye:float",官网右侧文档直接提取
80,股票数据 / 两融及转融通 / 融资融券标的（盘前）,股票数据,两融及转融通,,融资融券标的（盘前）,融资融券标的（盘前更新）,326,https://tushare.pro/document/2?doc_id=326,margin_secs,股票数据 / 两融及转融通,描述：获取沪深京三大交易所融资融券标的（包括ETF），每天盘前更新,,单独开权限,积分：2000积分可调取，5000积分无总量限制，积分越高权限越大，具体参考权限说明,限量：单次最大6000行数据，可根据股票代码、交易日期、交易所代码循环提取,5,"ts_code:str, trade_date:str, exchange:str, start_date:str, end_date:str",4,"trade_date:str(Y), ts_code:str(Y), name:str(Y), exchange:str(Y)",官网右侧文档直接提取
81,股票数据 / 两融及转融通 / 转融券交易汇总(停）,股票数据,两融及转融通,,转融券交易汇总(停）,转融券交易汇总,332,https://tushare.pro/document/2?doc_id=332,slb_sec,股票数据 / 两融及转融通,描述：转融通转融券交易汇总,,积分可访问,积分：2000积分每分钟请求200次，5000积分500次请求,限量：单次最大可以提取5000行数据，可循环获取所有历史,4,"trade_date:str, ts_code:str, start_date:str, end_date:str",7,"trade_date:str(Y), ts_code:str(Y), name:str(Y), ope_inv:float(Y), lent_qnt:float(Y), cls_inv:float(Y), end_bal:float(Y)",官网右侧文档直接提取
82,股票数据 / 两融及转融通 / 转融资交易汇总,股票数据,两融及转融通,,转融资交易汇总,转融资交易汇总,331,https://tushare.pro/document/2?doc_id=331,slb_len,股票数据 / 两融及转融通,描述：转融通融资汇总,,积分可访问,积分：2000积分每分钟请求200次，5000积分500次请求,限量：单次最大可以提取5000行数据，可循环获取所有历史,3,"trade_date:str, start_date:str, end_date:str",6,"trade_date:str(Y), ob:float(Y), auc_amount:float(Y), repo_amount:float(Y), repay_amount:float(Y), cb:float(Y)",官网右侧文档直接提取
83,股票数据 / 两融及转融通 / 转融券交易明细(停）,股票数据,两融及转融通,,转融券交易明细(停）,转融券交易明细,333,https://tushare.pro/document/2?doc_id=333,slb_sec_detail,股票数据 / 两融及转融通,描述：转融券交易明细,,积分可访问,积分：2000积分每分钟请求200次，5000积分500次请求,限量：单次最大可以提取5000行数据，可循环获取所有历史,4,"trade_date:str, ts_code:str, start_date:str, end_date:str",6,"trade_date:str(Y), ts_code:str(Y), name:str(Y), tenor:str(Y), fee_rate:float(Y), lent_qnt:float(Y)",官网右侧文档直接提取
84,股票数据 / 两融及转融通 / 做市借券交易汇总(停）,股票数据,两融及转融通,,做市借券交易汇总(停）,做市借券交易汇总,334,https://tushare.pro/document/2?doc_id=334,slb_len_mm,股票数据 / 两融及转融通,描述：做市借券交易汇总,,积分可访问,积分：2000积分每分钟请求200次，5000积分500次请求,限量：单次最大可以提取5000行数据，可循环获取所有历史,4,"trade_date:str, ts_code:str, start_date:str, end_date:str",7,"trade_date:str(Y), ts_code:str(Y), name:str(Y), ope_inv:float(Y), lent_qnt:float(Y), cls_inv:float(Y), end_bal:float(Y)",官网右侧文档直接提取
86,股票数据 / 资金流向数据 / 个股资金流向,股票数据,资金流向数据,,个股资金流向,个股资金流向,170,https://tushare.pro/document/2?doc_id=170,moneyflow,股票数据 / 资金流向数据,描述：获取沪深A股票资金流向数据，分析大单小单成交情况，用于判别资金动向，数据开始于2010年。,,积分可访问,积分：用户需要至少2000积分才可以调取，基础积分有流量控制，积分越多权限越大，请自行提高积分，具体请参阅积分获取办法,限量：单次最大提取6000行记录，总量不限制,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",20,"ts_code:str(Y), trade_date:str(Y), buy_sm_vol:int(Y), buy_sm_amount:float(Y), sell_sm_vol:int(Y), sell_sm_amount:float(Y), buy_md_vol:int(Y), buy_md_amount:float(Y), sell_md_vol:int(Y), sell_md_amount:float(Y), buy_lg_vol:int(Y), buy_lg_amount:float(Y), sell_lg_vol:int(Y), sell_lg_amount:float(Y), buy_elg_vol:int(Y), buy_elg_amount:float(Y), sell_elg_vol:int(Y), sell_elg_amount:float(Y), net_mf_vol:int(Y), net_mf_amount:float(Y)",官网右侧文档直接提取
87,股票数据 / 资金流向数据 / 个股资金流向（THS）,股票数据,资金流向数据,,个股资金流向（THS）,个股资金流向（THS）,348,https://tushare.pro/document/2?doc_id=348,moneyflow_ths,股票数据 / 资金流向数据,描述：获取同花顺个股资金流向数据，每日盘后更新,,积分可访问,积分：6000积分可调取，具体请参阅积分获取办法,限量：单次最大6000，可根据日期或股票代码循环提取数据,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",13,"trade_date:str(Y), ts_code:str(Y), name:str(Y), pct_change:float(Y), latest:float(Y), net_amount:float(Y), net_d5_amount:float(Y), buy_lg_amount:float(Y), buy_lg_amount_rate:float(Y), buy_md_amount:float(Y), buy_md_amount_rate:float(Y), buy_sm_amount:float(Y), buy_sm_amount_rate:float(Y)",官网右侧文档直接提取
88,股票数据 / 资金流向数据 / 个股资金流向（DC）,股票数据,资金流向数据,,个股资金流向（DC）,个股资金流向（DC）,349,https://tushare.pro/document/2?doc_id=349,moneyflow_dc,股票数据 / 资金流向数据,描述：获取东方财富个股资金流向数据，每日盘后更新，数据开始于20230911,,积分可访问,积分：用户需要至少5000积分才可以调取，具体请参阅积分获取办法,限量：单次最大获取6000条数据，可根据日期或股票代码循环提取数据,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",15,"trade_date:str(Y), ts_code:str(Y), name:str(Y), pct_change:float(Y), close:float(Y), net_amount:float(Y), net_amount_rate:float(Y), buy_elg_amount:float(Y), buy_elg_amount_rate:float(Y), buy_lg_amount:float(Y), buy_lg_amount_rate:float(Y), buy_md_amount:float(Y), buy_md_amount_rate:float(Y), buy_sm_amount:float(Y), buy_sm_amount_rate:float(Y)",官网右侧文档直接提取
89,股票数据 / 资金流向数据 / 板块资金流向（THS),股票数据,资金流向数据,,板块资金流向（THS),同花顺概念板块资金流向（THS）,371,https://tushare.pro/document/2?doc_id=371,moneyflow_cnt_ths,股票数据 / 资金流向数据,描述：获取同花顺概念板块每日资金流向,,积分可访问,积分：6000积分可以调取，具体请参阅积分获取办法,限量：单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",12,"trade_date:str(Y), ts_code:str(Y), name:str(Y), lead_stock:str(Y), close_price:float(Y), pct_change:float(Y), industry_index:float(Y), company_num:int(Y), pct_change_stock:float(Y), net_buy_amount:float(Y), net_sell_amount:float(Y), net_amount:float(Y)",官网右侧文档直接提取
90,股票数据 / 资金流向数据 / 行业资金流向（THS）,股票数据,资金流向数据,,行业资金流向（THS）,同花顺行业资金流向（THS）,343,https://tushare.pro/document/2?doc_id=343,moneyflow_ind_ths,股票数据 / 资金流向数据,描述：获取同花顺行业资金流向，每日盘后更新,,积分可访问,积分：6000积分可以调取，具体请参阅积分获取办法,限量：单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",12,"trade_date:str(Y), ts_code:str(Y), industry:str(Y), lead_stock:str(Y), close:float(Y), pct_change:float(Y), company_num:int(Y), pct_change_stock:float(Y), close_price:float(Y), net_buy_amount:float(Y), net_sell_amount:float(Y), net_amount:float(Y)",官网右侧文档直接提取
91,股票数据 / 资金流向数据 / 板块资金流向（DC）,股票数据,资金流向数据,,板块资金流向（DC）,东财概念及行业板块资金流向（DC）,344,https://tushare.pro/document/2?doc_id=344,moneyflow_ind_dc,股票数据 / 资金流向数据,描述：获取东方财富板块资金流向，每天盘后更新,,积分可访问,积分：6000积分可以调取，具体请参阅积分获取办法,限量：单次最大可调取5000条数据，可以根据日期和代码循环提取全部数据,5,"ts_code:str, trade_date:str, start_date:str, end_date:str, content_type:str",18,"trade_date:str(Y), content_type:str(Y), ts_code:str(Y), name:str(Y), pct_change:float(Y), close:float(Y), net_amount:float(Y), net_amount_rate:float(Y), buy_elg_amount:float(Y), buy_elg_amount_rate:float(Y), buy_lg_amount:float(Y), buy_lg_amount_rate:float(Y), buy_md_amount:float(Y), buy_md_amount_rate:float(Y), buy_sm_amount:float(Y), buy_sm_amount_rate:float(Y), buy_sm_amount_stock:str(Y), rank:int(Y)",官网右侧文档直接提取
92,股票数据 / 资金流向数据 / 大盘资金流向（DC）,股票数据,资金流向数据,,大盘资金流向（DC）,大盘资金流向（DC）,345,https://tushare.pro/document/2?doc_id=345,moneyflow_mkt_dc,股票数据 / 资金流向数据,描述：获取东方财富大盘资金流向数据，每日盘后更新,,积分可访问,积分：120积分可试用，6000积分可正式调取，具体请参阅积分获取办法,限量：单次最大3000条，可根据日期或日期区间循环获取,3,"trade_date:str, start_date:str, end_date:str",15,"trade_date:str(Y), close_sh:float(Y), pct_change_sh:float(Y), close_sz:float(Y), pct_change_sz:float(Y), net_amount:float(Y), net_amount_rate:float(Y), buy_elg_amount:float(Y), buy_elg_amount_rate:float(Y), buy_lg_amount:float(Y), buy_lg_amount_rate:float(Y), buy_md_amount:float(Y), buy_md_amount_rate:float(Y), buy_sm_amount:float(Y), buy_sm_amount_rate:float(Y)",官网右侧文档直接提取
93,股票数据 / 资金流向数据 / 沪深港通资金流向,股票数据,资金流向数据,,沪深港通资金流向,沪深港通资金流向,47,https://tushare.pro/document/2?doc_id=47,moneyflow_hsgt,股票数据 / 资金流向数据,描述：获取沪股通、深股通、港股通每日资金流向数据，每次最多返回300条记录，总量不限制。,,积分可访问,,积分要求：2000积分起，5000积分每分钟可提取500次,3,"trade_date:str, start_date:str, end_date:str",7,"trade_date:str, ggt_ss:float, ggt_sz:float, hgt:float, sgt:float, north_money:float, south_money:float",官网右侧文档直接提取
95,股票数据 / 打板专题数据 / 龙虎榜每日统计单,股票数据,打板专题数据,,龙虎榜每日统计单,龙虎榜每日明细,106,https://tushare.pro/document/2?doc_id=106,top_list,股票数据 / 打板专题数据,描述：龙虎榜每日交易明细,,积分可访问,积分：用户需要至少2000积分才可以调取，具体请参阅积分获取办法,限量：单次请求返回最大10000行数据，可通过参数循环获取全部历史,2,"trade_date*:str, ts_code:str",15,"trade_date:str(Y), ts_code:str(Y), name:str(Y), close:float(Y), pct_change:float(Y), turnover_rate:float(Y), amount:float(Y), l_sell:float(Y), l_buy:float(Y), l_amount:float(Y), net_amount:float(Y), net_rate:float(Y), amount_rate:float(Y), float_values:float(Y), reason:str(Y)",官网右侧文档直接提取
96,股票数据 / 打板专题数据 / 龙虎榜机构交易单,股票数据,打板专题数据,,龙虎榜机构交易单,龙虎榜机构明细,107,https://tushare.pro/document/2?doc_id=107,top_inst,股票数据 / 打板专题数据,描述：龙虎榜机构成交明细,,积分可访问,积分：用户需要至少5000积分才可以调取，具体请参阅积分获取办法,限量：单次请求最大返回10000行数据，可根据参数循环获取全部历史,2,"trade_date*:str, ts_code:str",10,"trade_date:str(Y), ts_code:str(Y), exalter:str(Y), side:str(Y), buy:float(Y), buy_rate:float(Y), sell:float(Y), sell_rate:float(Y), net_buy:float(Y), reason:str(Y)",官网右侧文档直接提取
97,股票数据 / 打板专题数据 / THS涨跌停榜单,股票数据,打板专题数据,,THS涨跌停榜单,涨跌停榜单（同花顺）,355,https://tushare.pro/document/2?doc_id=355,limit_list_ths,股票数据 / 打板专题数据,描述：获取同花顺每日涨跌停榜单数据，历史数据从20231101开始提供，增量每天16点左右更新，：分类（limit_type 涨停池、连扳池、冲刺涨停、炸板池、跌停池，默认：涨停池）不同，字段返回有值情况也不同，如仅有涨停池、连扳池 有最大封单 lu_limit_order返回值，其他分类为空,,积分可访问,积分：8000积分以上每分钟500次，每天总量不限制，具体请参阅积分获取办法,限量：单次最大4000条，可根据日期或股票代码循环提取,6,"trade_date:str, ts_code:str, limit_type:str, market:str, start_date:str, end_date:str",24,"trade_date:str(Y), ts_code:str(Y), name:str(Y), price:float(Y), pct_chg:float(Y), open_num:int(Y), lu_desc:str(Y), limit_type:str(Y), tag:str(Y), status:str(Y), first_lu_time:str(N), last_lu_time:str(N), first_ld_time:str(N), last_ld_time:str(N), limit_order:float(Y), limit_amount:float(Y), turnover_rate:float(Y), free_float:float(Y), lu_limit_order:float(Y), limit_up_suc_rate:float(Y), turnover:float(Y), rise_rate:float(N), sum_float:float(N), market_type:str(Y)",官网右侧文档直接提取
98,股票数据 / 打板专题数据 / 涨跌停和炸板数据,股票数据,打板专题数据,,涨跌停和炸板数据,涨跌停列表（新）,298,https://tushare.pro/document/2?doc_id=298,limit_list_d,股票数据 / 打板专题数据,描述：获取A股每日涨跌停、炸板数据情况，数据从2020年开始（不提供ST股票的统计）,,积分可访问,积分：5000积分每分钟可以请求200次每天总量1万次，8000积分以上每分钟500次每天总量不限制，具体请参阅积分获取办法,限量：单次最大可以获取2500条数据，可通过日期或者股票循环提取,6,"trade_date:str, ts_code:str, limit_type:str, exchange:str, start_date:str, end_date:str",18,"trade_date:str(Y), ts_code:str(Y), industry:str(Y), name:str(Y), close:float(Y), pct_chg:float(Y), amount:float(Y), limit_amount:float(Y), float_mv:float(Y), total_mv:float(Y), turnover_ratio:float(Y), fd_amount:float(Y), first_time:str(Y), last_time:str(Y), open_times:int(Y), up_stat:str(Y), limit_times:int(Y), limit:str(Y)",官网右侧文档直接提取
99,股票数据 / 打板专题数据 / 涨停股票连板天梯,股票数据,打板专题数据,,涨停股票连板天梯,连板天梯,356,https://tushare.pro/document/2?doc_id=356,limit_step,股票数据 / 打板专题数据,描述：获取每天连板个数晋级的股票，可以分析出每天连续涨停进阶个数，判断强势热度,,积分可访问,积分：8000积分以上每分钟500次，每天总量不限制，具体请参阅积分获取办法,限量：单次最大2000行数据，可根据股票代码或者日期循环提取全部,5,"trade_date:str, ts_code:str, start_date:str, end_date:str, nums:str",4,"ts_code:str(Y), name:str(Y), trade_date:str(Y), nums:str(Y)",官网右侧文档直接提取
100,股票数据 / 打板专题数据 / 涨停最强板块统计,股票数据,打板专题数据,,涨停最强板块统计,最强板块统计,357,https://tushare.pro/document/2?doc_id=357,limit_cpt_list,股票数据 / 打板专题数据,描述：获取每天涨停股票最多最强的概念板块，可以分析强势板块的轮动，判断资金动向,,积分可访问,积分：8000积分以上每分钟500次，每天总量不限制，具体请参阅积分获取办法,限量：单次最大2000行数据，可根据股票代码或者日期循环提取全部,4,"trade_date:str, ts_code:str, start_date:str, end_date:str",9,"ts_code:str(Y), name:str(Y), trade_date:str(Y), days:int(Y), up_stat:str(Y), cons_nums:int(Y), up_nums:int(Y), pct_chg:float(Y), rank:str(Y)",官网右侧文档直接提取
101,股票数据 / 打板专题数据 / THS概念板块分类,股票数据,打板专题数据,,THS概念板块分类,概念和行业指数,259,https://tushare.pro/document/2?doc_id=259,ths_index,股票数据 / 打板专题数据,描述：获取板块指数，包括概念、行业、特色指数。,,积分可访问,权限：本接口需有6000积分，单次最大返回5000行数据，一次可提取全部数据，请勿循环提取。,,3,"ts_code:str, exchange:str, type:str",6,"ts_code:str(Y), name:str(Y), count:int(Y), exchange:str(Y), list_date:str(Y), type:str(Y)",官网右侧文档直接提取
102,股票数据 / 打板专题数据 / THS概念板块行情,股票数据,打板专题数据,,THS概念板块行情,板块指数行情,260,https://tushare.pro/document/2?doc_id=260,ths_daily,股票数据 / 打板专题数据,描述：获取板块指数行情,,积分可访问,,限量：单次最大3000行数据（需6000积分），可根据指数代码、日期参数循环提取,4,"ts_code:str, trade_date:str, start_date:str, end_date:str",14,"ts_code:str(Y), trade_date:str(Y), close:float(Y), open:float(Y), high:float(Y), low:float(Y), pre_close:float(Y), avg_price:float(Y), change:float(Y), pct_change:float(Y), vol:float(Y), turnover_rate:float(Y), total_mv:float(N), float_mv:float(N)",官网右侧文档直接提取
103,股票数据 / 打板专题数据 / THS概念板块成分,股票数据,打板专题数据,,THS概念板块成分,概念板块成分,261,https://tushare.pro/document/2?doc_id=261,ths_member,股票数据 / 打板专题数据,描述：获取概念板块成分列表,,积分可访问,,限量：用户积累6000积分可调取，每分钟可调取200次，可按概念板块代码循环提取所有成分,2,"ts_code:str, con_code:str",7,"ts_code:str(Y), con_code:str(Y), con_name:str(Y), weight:float(N), in_date:str(N), out_date:str(N), is_new:str(N)",官网右侧文档直接提取
104,股票数据 / 打板专题数据 / DC概念板块分类,股票数据,打板专题数据,,DC概念板块分类,概念板块,362,https://tushare.pro/document/2?doc_id=362,dc_index,股票数据 / 打板专题数据,描述：获取每个交易日的概念板块数据，支持按日期查询,,积分可访问,权限：用户积累6000积分可调取，具体请参阅积分获取办法,限量：单次最大可获取5000条数据，历史数据可根据日期循环获取,6,"ts_code:str, name:str, trade_date:str, start_date:str, end_date:str, idx_type*:str",13,"ts_code:str(Y), trade_date:str(Y), name:str(Y), leading:str(Y), leading_code:str(Y), pct_change:float(Y), leading_pct:float(Y), total_mv:float(Y), turnover_rate:float(Y), up_num:int(Y), down_num:int(Y), idx_type:str(Y), level:str(Y)",官网右侧文档直接提取
105,股票数据 / 打板专题数据 / DC概念板块成分,股票数据,打板专题数据,,DC概念板块成分,板块成分,363,https://tushare.pro/document/2?doc_id=363,dc_member,股票数据 / 打板专题数据,描述：获取板块每日成分数据，可以根据概念板块代码和交易日期，获取历史成分,,积分可访问,权限：用户积累6000积分可调取，具体请参阅积分获取办法,限量：单次最大获取5000条数据，可以通过日期和代码循环获取,5,"ts_code:str, con_code:str, trade_date:str, start_date:str, end_date:str",4,"trade_date:str(Y), ts_code:str(Y), con_code:str(Y), name:str(Y)",官网右侧文档直接提取
